text,label
URGENT WARNING: the economy could be far more dangerous than officials admit. Anonymous insiders say Dr. Amara Okafor is deliberately downplaying the risk to avoid public panic.,FAKE
"SHOCKING: You won't believe what the national budget is really hiding from the public! Sources close to the matter say the truth about the national budget has been covered up for YEARS, and Officer Ray Patel refuses to answer questions.",FAKE
BREAKING: Secret documents PROVE that the economy is a total scam designed to control ordinary people. Insiders claim Senator Mark Ellis has known the truth all along but has stayed silent to protect powerful friends.,FAKE
"Unbelievable! A whistleblower claims a trade agreement was rigged from the start, and Mayor Linda Torres has been lying to the people of Oakdale for years. Mainstream media won't touch this story.",FAKE
URGENT WARNING: a stock market rally could be far more dangerous than officials admit. Anonymous insiders say Professor James Lee is deliberately downplaying the risk to avoid public panic.,FAKE
Experts are FURIOUS after leaked messages reveal the real agenda behind a government agency. Critics say Senator Mark Ellis is part of a hidden plan that mainstream media refuses to report on.,FAKE
"Representatives met in Cedar Falls on Monday to discuss a stock market rally, with a follow-up session scheduled for next month. Minister Tom Becker said both sides agreed to continue negotiations in good faith.",REAL
Health officials in Springfield issued updated guidance on a public health study after reviewing recent clinical data. Mayor Linda Torres emphasized that the guidance may be revised as more evidence becomes available.,REAL
"The quarterly report on a new vaccine was released Wednesday, showing results in line with analyst expectations. Professor James Lee noted the figures were consistent with projections made earlier in the year.",REAL
Data released this week by the department overseeing a sports championship showed a modest increase compared to last year. Dr. Sarah Chen cautioned against drawing broad conclusions from a single year of data.,REAL
"A report released by local authorities in Millbrook outlines new steps regarding a celebrity. Dr. Sarah Chen, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
"A report released by local authorities in Springfield outlines new steps regarding a school district. Governor Wei Zhang, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
"The Springfield city council voted 6-2 on Thursday to move forward with a sports championship, following months of public hearings. Governor Wei Zhang stated that the decision reflects input gathered from residents over the past year.",REAL
BREAKING: Secret documents PROVE that a tech company merger is a total scam designed to control ordinary people. Insiders claim Dr. Amara Okafor has known the truth all along but has stayed silent to protect powerful friends.,FAKE
Data released this week by the department overseeing a stock market rally showed a modest increase compared to last year. Mayor Linda Torres cautioned against drawing broad conclusions from a single year of data.,REAL
"According to a study published this week, an energy project showed measurable changes over the past year. Researchers, including Mayor Linda Torres, noted that further data collection is planned before drawing final conclusions.",REAL
"You won't see this on the news: the local election is secretly being used to manipulate Millbrook residents, according to anonymous sources. Officer Ray Patel allegedly ordered the cover-up personally.",FAKE
"You won't see this on the news: a stock market rally is secretly being used to manipulate Cedar Falls residents, according to anonymous sources. Dr. Amara Okafor allegedly ordered the cover-up personally.",FAKE
BREAKING: Secret documents PROVE that a new vaccine is a total scam designed to control ordinary people. Insiders claim Officer Ray Patel has known the truth all along but has stayed silent to protect powerful friends.,FAKE
"The quarterly report on a celebrity was released Wednesday, showing results in line with analyst expectations. Officer Ray Patel noted the figures were consistent with projections made earlier in the year.",REAL
"The quarterly report on the economy was released Wednesday, showing results in line with analyst expectations. Dr. Amara Okafor noted the figures were consistent with projections made earlier in the year.",REAL
Officials in Oakdale confirmed on Tuesday that a celebrity will be reviewed after a report from the city council. Dr. Amara Okafor said the findings would be published next month and that public comment would be welcomed.,REAL
URGENT WARNING: a university research team could be far more dangerous than officials admit. Anonymous insiders say Professor James Lee is deliberately downplaying the risk to avoid public panic.,FAKE
Data released this week by the department overseeing a trade agreement showed a modest increase compared to last year. Professor James Lee cautioned against drawing broad conclusions from a single year of data.,REAL
"WAKE UP: The real story behind a sports championship is finally exposed, and it's worse than anyone imagined. Government insiders warn that Senator Mark Ellis is hiding shocking evidence from the public.",FAKE
Officials in Cedar Falls confirmed on Tuesday that climate policy will be reviewed after a report from the city council. Dr. Sarah Chen said the findings would be published next month and that public comment would be welcomed.,REAL
"A report released by local authorities in Millbrook outlines new steps regarding a celebrity. Dr. Amara Okafor, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
"Unbelievable! A whistleblower claims the local election was rigged from the start, and Professor James Lee has been lying to the people of Riverside for years. Mainstream media won't touch this story.",FAKE
BREAKING: Secret documents PROVE that a school district is a total scam designed to control ordinary people. Insiders claim Professor James Lee has known the truth all along but has stayed silent to protect powerful friends.,FAKE
Experts are FURIOUS after leaked messages reveal the real agenda behind the local election. Critics say Governor Wei Zhang is part of a hidden plan that mainstream media refuses to report on.,FAKE
Officials in Riverside confirmed on Tuesday that a school district will be reviewed after a report from the city council. Professor James Lee said the findings would be published next month and that public comment would be welcomed.,REAL
"A report released by local authorities in Millbrook outlines new steps regarding a natural disaster response. Officer Ray Patel, who oversaw the review, said implementation would begin in phases starting next quarter.",REAL
"You won't see this on the news: a government agency is secretly being used to manipulate Riverside residents, according to anonymous sources. Senator Mark Ellis allegedly ordered the cover-up personally.",FAKE
"According to a study published this week, a sports championship showed measurable changes over the past year. Researchers, including Senator Mark Ellis, noted that further data collection is planned before drawing final conclusions.",REAL
"Representatives met in Springfield on Monday to discuss a new vaccine, with a follow-up session scheduled for next month. Senator Mark Ellis said both sides agreed to continue negotiations in good faith.",REAL
